target_relpath,entry_type,source_relpath,area,keep_phase,role,notes
_usage_guides/,folder,,guides,keep,"Usage guides, repo maps, and shipping notes","Single pruned runtime tree; source provenance is tracked only for copy planning."
_usage_guides/repo_shape_map_v0.csv,file,(this file),guides,keep,"Draft map of the expected shipped repo shape","Starting point for pruning/copy work into IFA_v1."
README.md,file,,top_level,later,"Top-level user-facing install and launch guide","Add after the kept file set is stable."
IFA.py,file,IFA_v1/IFA.py (historically IF_Analysis_Core/IFanalysisPackage5.py),top_level,keep,"Primary legacy interactive dispatcher","Top-level manual menu spine for import, processing, visualization, SVM, HTML viewer, and RNA/Visium routes."
controler.py,file,IFA_v1/controler.py (historically New_DAS/controler.py),top_level,keep,"State-aware browser/DS wrapper around the legacy runtime","Secondary spine that keeps project memory, browser IO, DS transport, and legacy-call bridging."
gui.py,file,IF_Analysis/New_DAS/run_html_gui.py,top_level,rename,"Top-level browser launcher","Thin launcher into controler.main_html; rename rather than keeping run_html_gui.py buried."
cli.py,file,(new thin launcher around controler.main),top_level,keep,"Top-level terminal launcher","Simple terminal entrypoint for the pruned tree; keep behavior conservative."
ds.py,file,IF_Analysis/New_DAS/run_ds.py,top_level,rename,"Top-level DS file-transport launcher","Thin launcher into controler.main_ds; rename rather than keeping run_ds.py buried."
analysis/,folder,,analysis,keep,"Core df/obs/dfxy mutation and analysis modules","One functional analysis branch rather than a source-history split."
analysis/IFprocessing7.py,file,IF_Analysis/IF_Analysis_Core/IFprocessing7.py,analysis,keep,"Main data-processing and analysis menu implementation","Central mutating analysis module used by IFA.py."
analysis/cmifAnalysis50.py,file,IF_Analysis/IF_Analysis_Core/cmifAnalysis50.py,analysis,keep,"Large legacy analysis and utility module","Core legacy helper for prompts, segmentation-related utilities, ROI work, and many analysis-side helpers."
analysis/combat1.py,file,IF_Analysis/IF_Analysis_Core/combat1.py,analysis,keep,"Batch-correction helper","Small supporting analysis dependency imported by processing/analysis modules."
analysis/orthoType7.py,file,IF_Analysis/IF_Analysis_Core/orthoType7.py,analysis,exclude,"Orthogonal-threshold prototype wrapper","Exclude from the shipped tree; IFprocessing7.py and cmifAnalysis50.py still import/expose it today, so later pruning/rewiring will be needed."
analysis/orthogonal7.py,file,IF_Analysis/IF_Analysis_Core/orthogonal7.py,analysis,keep,"Legacy orthogonal analysis helpers","Imported by cmifAnalysis50.py and IFprocessing7.py."
analysis/RAT2.py,file,IF_Analysis/IF_Analysis_Core/RAT2.py,analysis,keep,"RNA/Visium import and gene-clustering route","Keep explicitly; uses the torch-cluster wrapper for clustering."
analysis/SVM7.py,file,IF_Analysis/IF_Analysis_Core/SVM7.py,analysis,keep,"Legacy SVM menu wrapper","Compatibility wrapper that preserves the historical IFA entry point while delegating to Machine_Learning/svm_classifier.py."
analysis/torchCluster5.py,file,IF_Analysis/IF_Analysis_Core/torchCluster5.py,analysis,keep,"Legacy torch clustering wrapper","Compatibility wrapper used by RAT2.py and IFprocessing7.py while delegating to Machine_Learning/torch_cluster.py."
analysis/if_progress.py,file,IF_Analysis/IF_Analysis_Core/if_progress.py,analysis,keep,"Progress shim for legacy and DAS flows","Shared progress helper used across IFA.py, processing, spectral flow, and viewers."
analysis/subset_project_utils.py,file,IF_Analysis/IF_Analysis_Core/subset_project_utils.py,analysis,keep,"Subset-project naming and config helpers","Used by IFprocessing7.py and call_visu_html_7.py."
visualization/,folder,,visualization,keep,"Plotting, HTML viewer, and ROI mailbox support","Keeps the visualization branch intact without dragging unrelated backups."
visualization/IFvisualization2.py,file,IF_Analysis/IF_Analysis_Core/IFvisualization2.py,visualization,keep,"Main visualization menu implementation","Core plotting and figure-writing module used by IFA.py."
visualization/call_visu_html_7.py,file,IF_Analysis/IF_Analysis_Core/call_visu_html_7.py,visualization,keep,"HTML viewer entrypoint for figures, scenes, and subsets","Imported directly by IFA.py; also bridges into shared_utils and io_adapter."
visualization/visu_html_functions7.py,file,IF_Analysis/IF_Analysis_Core/visu_html_functions7.py,visualization,keep,"Low-level HTML viewer asset/composite helpers","Supporting library for call_visu_html_7.py."
visualization/roi_mailbox_helper.py,file,IF_Analysis/IF_Analysis_Core/roi_mailbox_helper.py,visualization,keep,"ROI mailbox helper process","Used by the ROI mailbox path exposed through IFA.py and the HTML viewer workflow."
visualization/allcolors.py,file,IF_Analysis/IF_Analysis_Core/allcolors.py,visualization,keep,"Shared color palettes and random-color helpers","Supporting dependency for legacy plotting modules."
data_extraction/,folder,,data_extraction,keep,"Feature extraction, stain correction, and spectral flow support","Keep the extraction branch together, but prune to the files actually called by shipped entrypoints."
data_extraction/feature_extraction_ifa.py,file,IF_Analysis/Data_extraction/feature_extraction_ifa.py,data_extraction,keep,"Legacy feature-extraction bridge used by controler.py","Current working feature-extraction GUI path; wraps stain correction and feature extraction."
data_extraction/stain_correction24_pTMA.py,file,IF_Analysis/Data_extraction/stain_correction24_pTMA.py,data_extraction,keep,"Legacy stain correction and correction-first extraction runtime","Algorithmically important path for q/t/e/b correction, resume behavior, debug PNGs, and corrected TIFF output."
data_extraction/feature_extract_17.py,file,IF_Analysis/Data_extraction/feature_extract_17.py,data_extraction,keep,"Per-core feature extraction engine","Shared downstream extractor used by stain_correction24_pTMA.py."
data_extraction/realign_v1.py,file,IF_Analysis/utility scripts/realign_v1.py,data_extraction,keep,"Scene registration utility","Current standalone image-registration helper that writes registeredImages outputs and QC/debug files."
data_extraction/mesmer_DAS.py,file,IF_Analysis/utility scripts/mesmer_DAS.py,data_extraction,keep,"Mesmer segmentation utility","Current standalone cell-segmentation helper that writes feature-extraction-compatible nuclei and cell mask basins."
data_extraction/spectral_flow_ifa.py,file,IF_Analysis/Data_extraction/spectral_flow_ifa.py,data_extraction,keep,"Spectral flow import and audit workflow","Referenced by both IFA.py and controler.py."
data_extraction/spectral_unmixing.py,file,IF_Analysis/Data_extraction/spectral_unmixing.py,data_extraction,keep,"Spectral unmixing implementation","Backend used by spectral_flow_ifa.py."
data_extraction/image_ingest.py,file,IF_Analysis/New_DAS/image_ingest.py,data_extraction,exclude,"Abandoned direct image-ingest path","Explicitly excluded from the shipped tree after reviewing correction-algorithm divergence and lack of current menu wiring."
Machine_Learning/,folder,,machine_learning,keep,"Narrow ML engine support surface","For shipping, keep ML support limited to SVM-C and Torchcluster engines plus their shared helper."
Machine_Learning/svm_classifier.py,file,IF_Analysis/Machine_Learning/svm_classifier.py,machine_learning,keep,"Reusable SVM-C engine","Back-end engine behind SVM7.py."
Machine_Learning/torch_cluster.py,file,IF_Analysis/Machine_Learning/torch_cluster.py,machine_learning,keep,"Reusable Torchcluster engine","Back-end engine behind torchCluster5.py and RAT2.py clustering."
Machine_Learning/ml_common.py,file,IF_Analysis/Machine_Learning/ml_common.py,machine_learning,keep,"Shared ML file/typing/output helpers","Required by svm_classifier.py and torch_cluster.py."
support/,folder,,support,keep,"Shared runtime support used across controller, viewer, and legacy modules","This is the glue layer needed to make one pruned tree run."
support/shared_utils.py,file,IF_Analysis/New_DAS/shared_utils.py,support,keep,"Cross-cutting config, save-path, manifest, and normalization helpers","Now depended on by controler.py, IFprocessing7.py, IFvisualization2.py, cmifAnalysis50.py, and call_visu_html_7.py."
support/frontend.py,file,IF_Analysis/New_DAS/frontend.py,support,keep,"Browser-backed prompt/log frontend","Required by controler.py and the GUI launcher."
support/io_adapter.py,file,IF_Analysis/New_DAS/io_adapter.py,support,keep,"Unified terminal/GUI/DS IO adapter","Required by controler.py, feature_extraction_ifa.py, if_progress.py, and call_visu_html_7.py bridge behavior."
support/ds_transport.py,file,IF_Analysis/New_DAS/ds_transport.py,support,keep,"File-backed DS transport implementation","Required by io_adapter.py and ds.py."
support/state_log.py,file,IF_Analysis/New_DAS/state_log.py,support,keep,"State/action logging helpers for controler.py","Keep because controler.py is heavily wired around it."
